"","RUN","SAMN","SAMPLE","Sample","Replicate","BASES","BIOPROJECT","BIOSAMPLE","DATE","EXPERIMENT","LAT_LON","LIBRARY","SAMPLENAME","DEPTH","SAMPLE_ID_PARSED","DEPTH_CATEGORY","REGION","PACIFIC_REGION","MONTH","LIGHT"
"21","SRR11178167","SAMN14206065","PortofLA_3","PortofLA","3",4491843250,"PRJNA608423","SAMN14206065","2015-05-20","SRX7798861","33.71 N 118.26 W","Port_of_LA_3_S3_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"22","SRR11178166","SAMN14206066","PortofLA_4","PortofLA","4",6380099500,"PRJNA608423","SAMN14206066","2015-05-20","SRX7798862","33.71 N 118.26 W","Port_of_LA_4_S4_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"23","SRR11178181","SAMN14206067","PortofLA_5","PortofLA","5",7907104250,"PRJNA608423","SAMN14206067","2015-05-20","SRX7798847","33.71 N 118.26 W","Port_of_LA_5_S5_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"24","SRR11178180","SAMN14206068","PortofLA_6","PortofLA","6",9629580250,"PRJNA608423","SAMN14206068","2015-05-20","SRX7798848","33.71 N 118.26 W","Port_of_LA_6_S6_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"25","SRR5799332","SAMN07269832","SPOT_150m_Rep1and2","SPOT_150m","Rep1and2",21179947000,"PRJNA391503","SAMN07269832","2015-05-20","SRX2978825","33.55 N 118.40 W","SPOT_150m_25","CA_SPOT_150_May",150,"SPOT 150 m","150 m","SPOT","CA","May","Sub-euphotic"
"26","SRR5799333","SAMN07269833","SPOT_150m_Rep3and4","SPOT_150m","Rep3and4",13838597000,"PRJNA391503","SAMN07269833","2015-05-20","SRX2978824","33.55 N 118.40 W","SPOT_150m_26","CA_SPOT_150_May",150,"SPOT 150 m","150 m","SPOT","CA","May","Sub-euphotic"
"27","SRR5799340","SAMN07269834","SPOT_150m_Rep5and6","SPOT_150m","Rep5and6",24355501250,"PRJNA391503","SAMN07269834","2015-05-20","SRX2978817","33.55 N 118.40 W","SPOT_150m_27","CA_SPOT_150_May",150,"SPOT 150 m","150 m","SPOT","CA","May","Sub-euphotic"
"28","SRR5799341","SAMN07269835","SPOT_890m_Rep1and2","SPOT_890m","Rep1and2",4599264250,"PRJNA391503","SAMN07269835","2015-05-20","SRX2978816","33.55 N 118.40 W","SPOT_890m_28","CA_SPOT_890_May",890,"SPOT 890 m","890 m","SPOT","CA","May","Sub-euphotic"
"29","SRR5799343","SAMN07269836","SPOT_890m_Rep3and4","SPOT_890m","Rep3and4",20218093250,"PRJNA391503","SAMN07269836","2015-05-20","SRX2978814","33.55 N 118.40 W","SPOT_890m_29","CA_SPOT_890_May",890,"SPOT 890 m","890 m","SPOT","CA","May","Sub-euphotic"
"30","SRR5799344","SAMN07269837","SPOT_890m_Rep5and6","SPOT_890m","Rep5and6",15436881250,"PRJNA391503","SAMN07269837","2015-05-20","SRX2978813","33.55 N 118.40 W","SPOT_890m_30","CA_SPOT_890_May",890,"SPOT 890 m","890 m","SPOT","CA","May","Sub-euphotic"
"31","SRR5799342","SAMN07269838","SPOT_890m_Rep7","SPOT_890m","Rep7",16907100750,"PRJNA391503","SAMN07269838","2015-05-20","SRX2978815","33.55 N 118.40 W","SPOT_890m_31","CA_SPOT_890_May",890,"SPOT 890 m","890 m","SPOT","CA","May","Sub-euphotic"
"32","SRR5799338","SAMN07269826","SPOT_surface_7","SPOT_surface","7",6490449000,"PRJNA391503","SAMN07269826","2015-05-20","SRX2978819","33.55 N 118.40 W","SPOT_surface_7","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"33","SRR5799339","SAMN07269827","SPOT_surface_8","SPOT_surface","8",3741887000,"PRJNA391503","SAMN07269827","2015-05-20","SRX2978818","33.55 N 118.40 W","SPOT_surface_8","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"34","SRR5799336","SAMN07269828","SPOT_surface_9","SPOT_surface","9",8523152000,"PRJNA391503","SAMN07269828","2015-05-20","SRX2978821","33.55 N 118.40 W","SPOT_surface_9","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"35","SRR5799337","SAMN07269829","SPOT_surface_10","SPOT_surface","10",10675178500,"PRJNA391503","SAMN07269829","2015-05-20","SRX2978820","33.55 N 118.40 W","SPOT_surface_10","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"36","SRR5799334","SAMN07269830","SPOT_surface_11","SPOT_surface","11",8449256000,"PRJNA391503","SAMN07269830","2015-05-20","SRX2978823","33.55 N 118.40 W","SPOT_surface_11","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"37","SRR5799335","SAMN07269831","SPOT_surface_12","SPOT_surface","12",7203720250,"PRJNA391503","SAMN07269831","2015-05-20","SRX2978822","33.55 N 118.40 W","SPOT_surface_12","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"38","SRR11178179","SAMN14206069","SPOT_surface_13","SPOT_surface","13",12565907750,"PRJNA608423","SAMN14206069","2015-05-20","SRX7798849","33.44 N 118.47 W","SPOT_surface_13_S15_L003","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"39","SRR11178178","SAMN14206070","SPOT_surface_14","SPOT_surface","14",7464807500,"PRJNA608423","SAMN14206070","2015-05-20","SRX7798850","33.44 N 118.47 W","SPOT_surface_14_S16_L003","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"40","SRR11178177","SAMN14206071","SPOT_surface_!5","SPOT_surface","!5",8583553750,"PRJNA608423","SAMN14206071","2015-05-20","SRX7798851","33.44 N 118.47 W","SPOT_surface_15_S17_L003","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"41","SRR11178176","SAMN14206072","SPOT_surface_16","SPOT_surface","16",8126200000,"PRJNA608423","SAMN14206072","2015-05-20","SRX7798852","33.44 N 118.47 W","SPOT_surface_16_S18_L003","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"42","SRR11178175","SAMN14206073","SPOT_surface_17","SPOT_surface","17",8329988250,"PRJNA608423","SAMN14206073","2015-05-20","SRX7798853","33.44 N 118.47 W","SPOT_surface_17_S19_L003","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
"43","SRR11178174","SAMN14206074","SPOT_surface_18","SPOT_surface","18",6430857250,"PRJNA608423","SAMN14206074","2015-05-20","SRX7798854","33.44 N 118.47 W","SPOT_surface_18_S20_L003","CA_SPOT_5_May",5,"SPOT surface","surface","SPOT","CA","May","Euphotic"
