RUN,BASES,BIOPROJECT,BIOSAMPLE,DATE,EXPERIMENT,LAT_LON,LIBRARY,SAMPLENAME,DEPTH,SAMPLE_ID_PARSED,DEPTH_CATEGORY,REGION,PACIFIC_REGION,MONTH
SRR11178170,11865681500,PRJNA608423,SAMN14206062,2015-05-21,SRX7798858,33.44 N 118.47 W,Catalina_24_S27_L004,CA_Catalina_5_May,5,Catalina surface,surface,Catalina,CA,May
SRR11178171,7289444750,PRJNA608423,SAMN14206061,2015-05-21,SRX7798857,33.44 N 118.47 W,Catalina_23_S26_L004,CA_Catalina_5_May,5,Catalina surface,surface,Catalina,CA,May
SRR11178172,5346436500,PRJNA608423,SAMN14206060,2015-05-21,SRX7798856,33.44 N 118.47 W,Catalina_22_S25_L004,CA_Catalina_5_May,5,Catalina surface,surface,Catalina,CA,May
SRR11178173,9213733750,PRJNA608423,SAMN14206059,2015-05-21,SRX7798855,33.44 N 118.47 W,Catalina_21_S24_L004,CA_Catalina_5_May,5,Catalina surface,surface,Catalina,CA,May
SRR11178174,6430857250,PRJNA608423,SAMN14206074,2015-05-20,SRX7798854,33.44 N 118.47 W,SPOT_surface_18_S20_L003,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR11178175,8329988250,PRJNA608423,SAMN14206073,2015-05-20,SRX7798853,33.44 N 118.47 W,SPOT_surface_17_S19_L003,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR11178176,8126200000,PRJNA608423,SAMN14206072,2015-05-20,SRX7798852,33.44 N 118.47 W,SPOT_surface_16_S18_L003,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR11178177,8583553750,PRJNA608423,SAMN14206071,2015-05-20,SRX7798851,33.44 N 118.47 W,SPOT_surface_15_S17_L003,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR11178178,7464807500,PRJNA608423,SAMN14206070,2015-05-20,SRX7798850,33.44 N 118.47 W,SPOT_surface_14_S16_L003,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR11178179,12565907750,PRJNA608423,SAMN14206069,2015-05-20,SRX7798849,33.44 N 118.47 W,SPOT_surface_13_S15_L003,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR11178180,9629580250,PRJNA608423,SAMN14206068,2015-05-20,SRX7798848,33.71 N 118.26 W,Port_of_LA_6_S6_L001,CA_PortofLA_5_May,5,Port of LA surface,surface,PortofLA,CA,May
SRR11178181,7907104250,PRJNA608423,SAMN14206067,2015-05-20,SRX7798847,33.71 N 118.26 W,Port_of_LA_5_S5_L001,CA_PortofLA_5_May,5,Port of LA surface,surface,PortofLA,CA,May
SRR11178182,9890647250,PRJNA608423,SAMN14206058,2015-05-21,SRX7798846,33.44 N 118.47 W,Catalina_20_S23_L004,CA_Catalina_5_May,5,Catalina surface,surface,Catalina,CA,May
SRR11178183,8956532750,PRJNA608423,SAMN14206057,2015-05-21,SRX7798845,33.44 N 118.47 W,Catalina_19_S22_L004,CA_Catalina_5_May,5,Catalina surface,surface,Catalina,CA,May
